area_type,availability,location,size,society,total_sqft,bath,balcony,price,zone_name
Plot  Area,Ready To Move,vishwanatha nagenahalli,5 Bedroom,,900,3,2,80,Yelahanka Zone
Built-up  Area,Ready To Move,yeshwanthpur,2 BHK,IBityin,1170,2,2,57,Dasarahalli Zone
Super built-up  Area,Ready To Move,kr puram,2 BHK,LVniaar,1225,2,1,46.55,Mahadevapura Zone
Super built-up  Area,18-Apr,electronic city,2 BHK,Prarkun,1342,2,1,73.3,Bommanahalli Zone
Built-up  Area,19-Dec,uttarahalli,2 BHK,,1345,2,1,67,South Zone
Built-up  Area,Ready To Move,kodigehaali,3 BHK,Shyas S,1320,3,0,65,Yelahanka Zone
Super built-up  Area,Ready To Move,singapura village,2 BHK,,1100Sq. Yards,2,,45,Dasarahalli Zone
Super built-up  Area,Ready To Move,raja rajeshwari nagar,2 BHK,GrrvaGr,1140,2,1,49.39,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,battarahalli,2 BHK,Sancy L,1300,2,1,50,Mahadevapura Zone
Super built-up  Area,Ready To Move,hosa road,3 BHK,,1652,3,2,85,Bommanahalli Zone
Super built-up  Area,Ready To Move,thigalarapalya,3 BHK,Prtanha,2072,4,2,142,Mahadevapura Zone
Built-up  Area,Ready To Move,arekere,3 BHK,,1740,2,,95,Bommanahalli Zone
Super built-up  Area,Ready To Move,electronic city,3 BHK,GMown E,1360,2,1,71,Bommanahalli Zone
Super built-up  Area,Ready To Move,hosur road,3 BHK,Sueneu,1145,2,2,60,Bommanahalli Zone
Built-up  Area,Ready To Move,uttarahalli,3 BHK,Laihai,1540,2,0,40,South Zone
Super built-up  Area,Ready To Move,sarjapur road,2 BHK,Adeatlm,1278,2,2,95,Bommanahalli Zone
Super built-up  Area,18-May,electronic city phase ii,1 BHK,SNbay G,630,1,1,40,Bommanahalli Zone
Super built-up  Area,21-Jan,kanakpura road,3 BHK,PrarePa,1100,3,2,58,South Zone
Plot  Area,Ready To Move,bendiganahalli,3 Bedroom,Brersld,1200,3,0,95,Outside BBMP Zones
Built-up  Area,Ready To Move,hosakerehalli layout,7 Bedroom,,2500,6,2,115,Rajarajeshwari Nagar Zone
Super built-up  Area,18-Jun,chandapura,1 BHK,SuVue S,520 - 645,1,0,15.135,Outside BBMP Zones
Super built-up  Area,18-Sep,chandapura,2 BHK,SunceEs,1015,2,2,25.88,Outside BBMP Zones
Built-up  Area,Ready To Move,hosur road,5 Bedroom,,3300,5,2,240,Bommanahalli Zone
Plot  Area,Ready To Move,basaveshwara nagar,5 Bedroom,,4500,5,1,415,West Zone
Super built-up  Area,Ready To Move,gunjur,3 BHK,,1356,2,3,66,Mahadevapura Zone
Super built-up  Area,Ready To Move,hennagara,2 BHK,,823,2,1,28,Outside BBMP Zones
Plot  Area,Ready To Move,tc palaya,3 Bedroom,,1200,2,0,66,Mahadevapura Zone
Built-up  Area,Ready To Move,ramamurthy nagar,2 BHK,,1050,2,0,37,Mahadevapura Zone
Super built-up  Area,Ready To Move,ferrar nagar,2 BHK,Leton A,1180,2,1,69,Outside BBMP Zones
Super built-up  Area,Ready To Move,whitefield,2 BHK,Sonviik,1116,2,3,51.91,Mahadevapura Zone
Super built-up  Area,Ready To Move,7th phase jp nagar,2 BHK,SrncyRe,1070,2,1,42.79,Unknown
Super built-up  Area,17-Mar,varthur,2 BHK,Uptusol,1385,2,3,80,Mahadevapura Zone
Plot  Area,Ready To Move,varthur,1 Bedroom,,1000,1,1,70,Mahadevapura Zone
Built-up  Area,18-Feb,whitefield,3 BHK,,1897,3,2,130,Mahadevapura Zone
Super built-up  Area,18-Aug,magadi road,2 BHK,Vrenty,1005,2,1,55.78,West Zone
Super built-up  Area,Ready To Move,green glen layout,3 BHK,Soinequ,1575,3,2,125,Mahadevapura Zone
Super built-up  Area,Ready To Move,subramanyapura,2 BHK,Mayne A,975,2,1,65,South Zone
Super built-up  Area,Ready To Move,hennur road,3 BHK,SaireSa,1904,3,2,120,Yelahanka Zone
Super built-up  Area,Ready To Move,kengeri satellite town,1 BHK,,930,1,1,30,Rajarajeshwari Nagar Zone
Super built-up  Area,21-Dec,kanakpura road,1 BHK,PrarePa,525,1,1,26,South Zone
Super built-up  Area,Ready To Move,bagur,1 BHK,,686,1,1,17,Outside BBMP Zones
Plot  Area,Ready To Move,electronic city phase ii,2 Bedroom,Daosts,2400,3,1,150,Bommanahalli Zone
Plot  Area,Ready To Move,8th block koramangala,2 Bedroom,,1410,1,0,233,Unknown
Built-up  Area,18-Apr,sarjapur road,3 Bedroom,,2238,3,1,140,Bommanahalli Zone
Super built-up  Area,Ready To Move,harlur,2 BHK,Prncyrn,1174,2,1,69,Bommanahalli Zone
Built-up  Area,Ready To Move,thubarahalli,4 Bedroom,,3800,4,3,239,Mahadevapura Zone
Super built-up  Area,Ready To Move,whitefield,3 BHK,UKe 2nz,2225,2,1,125,Mahadevapura Zone
Super built-up  Area,Ready To Move,m.g road,2 BHK,SontsAp,1250,2,0,200,East Zone
Super built-up  Area,Ready To Move,jigani,2 BHK,DLhtsan,918,2,2,52,Outside BBMP Zones
Super built-up  Area,Ready To Move,mahadevpura,2 BHK,,1250,2,3,52,Mahadevapura Zone
Super built-up  Area,Ready To Move,sarjapur road,3 BHK,Maantr,1800,3,,110,Bommanahalli Zone
Built-up  Area,Ready To Move,marathahalli,2 BHK,Foodasa,1170,2,3,53,Mahadevapura Zone
Super built-up  Area,Ready To Move,byatarayanapura,1 BHK,,1300,1,0,200,Yelahanka Zone
Built-up  Area,Ready To Move,bannerghatta road,2 BHK,,793,2,1,45,South Zone
Super built-up  Area,Ready To Move,jakkur,3 BHK,BrdgeNo,1710,3,2,107,Yelahanka Zone
Super built-up  Area,Ready To Move,kambipura,3 BHK,Prrtht,1082,2,1,57.5,Rajarajeshwari Nagar Zone
Super built-up  Area,18-Mar,naganathapura,2 BHK,,1001,2,2,33.03,Bommanahalli Zone
Built-up  Area,Ready To Move,srinivasa nagar,4 Bedroom,,1500,4,,180,South Zone
Super built-up  Area,Ready To Move,yelahanka,3 BHK,,1590,2,1,54,Yelahanka Zone
Super built-up  Area,Ready To Move,basavanagara,3 BHK,,2400,2,0,80,Mahadevapura Zone
Super built-up  Area,Ready To Move,horamavu banaswadi,3 BHK,Asorai,1554,3,2,55,Mahadevapura Zone
Super built-up  Area,18-Dec,thanisandra,2 BHK,Omter A,1000 - 1285,2,0,43.415,Yelahanka Zone
Super built-up  Area,Ready To Move,bellandur,5 BHK,,4239,5,2,423,Mahadevapura Zone
Built-up  Area,Ready To Move,konanakunte,2 Bedroom,,884,1,0,58,South Zone
Super built-up  Area,19-Mar,hosa road,2 BHK,Skume R,1045,2,1,98.89,Bommanahalli Zone
Super built-up  Area,Ready To Move,marathahalli,2 BHK,,1019,2,2,49.86,Mahadevapura Zone
Super built-up  Area,Ready To Move,ambedkar nagar,3 BHK,SoechHa,1935,4,2,130,East Zone
Super built-up  Area,Ready To Move,uttarahalli,3 BHK,,1135,2,2,39.73,South Zone
Super built-up  Area,Ready To Move,lakshminarayana pura,3 BHK,RothaVa,1680,3,2,150,West Zone
Super built-up  Area,19-Jun,hebbal,4 BHK,Raard B,2470,5,2,247,Yelahanka Zone
Super built-up  Area,Ready To Move,1st phase jp nagar,4 BHK,Prhtsok,2825,4,3,250,Unknown
Super built-up  Area,Ready To Move,hosakerehalli,3 BHK,Taonte,2480,3,1,330,Rajarajeshwari Nagar Zone
Plot  Area,Ready To Move,5th phase jp nagar,9 Bedroom,,1260,11,,290,Unknown
Plot  Area,Ready To Move,ramamurthy nagar,5 Bedroom,,1800,4,3,187,Mahadevapura Zone
Built-up  Area,Ready To Move,kasavanhalli,3 BHK,Ocrda M,1799,3,3,90,Mahadevapura Zone
Super built-up  Area,Ready To Move,whitefield,4 Bedroom,PrOakSi,3606 - 5091,,,304,Mahadevapura Zone
Built-up  Area,Ready To Move,attibele,1 BHK,Jae 2hu,400,1,1,11,Outside BBMP Zones
Built-up  Area,18-Mar,kundalahalli,2 BHK,Dieldli,1047,2,1,82,Mahadevapura Zone
Super built-up  Area,Ready To Move,kaverappa layout,2 BHK,Kesomrn,1282,2,2,87,Outside BBMP Zones
Super built-up  Area,Ready To Move,ngr layout,2 BHK,,1020,2,1,45.9,Bommanahalli Zone
Plot  Area,Ready To Move,kammanahalli,4 Bedroom,,1080,3,1,155,East Zone
Super built-up  Area,Ready To Move,whitefield,2 BHK,UKe 2nz,1495,2,1,79.5,Mahadevapura Zone
Built-up  Area,Ready To Move,kasavanhalli,4 Bedroom,Vaidsi,3260,4,1,240,Mahadevapura Zone
Super built-up  Area,17-Oct,divya unnathi layout,3 BHK,,1611,2,2,64.44,Outside BBMP Zones
Super built-up  Area,Ready To Move,koramangala,4 BHK,K ncy R,3500,5,2,425,East Zone
Built-up  Area,Ready To Move,vasantha vallabha nagar,3 Bedroom,,1500,2,2,95,South Zone
Super built-up  Area,Ready To Move,sahakara nagar,3 BHK,EsniaGa,1500,2,2,95,Yelahanka Zone
Plot  Area,Ready To Move,yelahanka,4 Bedroom,Aaire S,3206,5,,270,Yelahanka Zone
Super built-up  Area,Ready To Move,uttarahalli,3 BHK,Laihai,1540,3,0,50,South Zone
Super built-up  Area,18-May,hosa road,3 BHK,Pamesy,1639,3,1,80,Bommanahalli Zone
Plot  Area,Ready To Move,marathahalli,4 Bedroom,,700,4,,72,Mahadevapura Zone
Super built-up  Area,Ready To Move,raja rajeshwari nagar,2 BHK,GrrvaGr,1303,2,2,55.79,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,koramangala,2 BHK,K ncy R,1005,1,1,110,East Zone
Super built-up  Area,Ready To Move,kammasandra,1 BHK,Puitea,650 - 665,1,0,18.41,Outside BBMP Zones
Super built-up  Area,18-Oct,chandapura,3 BHK,SunceEs,1305,3,1,33.28,Outside BBMP Zones
Plot  Area,Ready To Move,kothannur,3 Bedroom,,600,4,0,95,Yelahanka Zone
Super built-up  Area,Ready To Move,sapthagiri layout,2 BHK,,1300,1,1,115,Unknown
Super built-up  Area,Ready To Move,brookefield,3 BHK,Saowson,1440,2,3,68,Mahadevapura Zone
Super built-up  Area,18-Dec,seegehalli,2 BHK,,901,2,1,35.14,Mahadevapura Zone
Super built-up  Area,Ready To Move,rajaji nagar,3 BHK,Brway G,1725,3,3,200,West Zone
Built-up  Area,Ready To Move,sarjapur,3 BHK,,900,2,1,42,Outside BBMP Zones
Super built-up  Area,Ready To Move,beml layout,2 BHK,,1060,2,1,55,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,ngr layout,2 BHK,,1020,2,1,48.45,Bommanahalli Zone
Super built-up  Area,20-Dec,varthur,3 BHK,Myple M,1535,3,2,65.99,Mahadevapura Zone
Built-up  Area,Ready To Move,alur,1 BHK,,530,1,1,20,Dasarahalli Zone
Super built-up  Area,Ready To Move,haralur road,3 BHK,NRowse,1464,3,2,56,Bommanahalli Zone
Super built-up  Area,Ready To Move,devarabisanahalli,2 BHK,Spdoren,1350,2,3,80,Mahadevapura Zone
Super built-up  Area,Ready To Move,sarjapur road,2 BHK,,1115,2,2,50,Bommanahalli Zone
Super built-up  Area,Ready To Move,uttarahalli,2 BHK,,1175,2,2,47,South Zone
Built-up  Area,Ready To Move,whitefield,2 BHK,,1113,2,1,62,Mahadevapura Zone
Plot  Area,Ready To Move,uttarahalli,6 Bedroom,,1200,4,2,225,South Zone
Plot  Area,Ready To Move,ramamurthy nagar,5 Bedroom,,1640,4,3,240,Mahadevapura Zone
Built-up  Area,Ready To Move,giri nagar,2 BHK,Spanda,650,2,0,42,South Zone
Super built-up  Area,Ready To Move,marathahalli,2 BHK,,1325,2,2,71.55,Mahadevapura Zone
Built-up  Area,Ready To Move,electronics city phase 1,2 BHK,Shelash,950,2,3,31,Unknown
Super built-up  Area,18-Apr,jakkur,3 BHK,,1396,2,1,86.51,Yelahanka Zone
Super built-up  Area,Ready To Move,rachenahalli,2 BHK,,1050,2,2,52.07,Yelahanka Zone
Super built-up  Area,Ready To Move,thanisandra,3 BHK,,1825,3,2,100,Yelahanka Zone
Super built-up  Area,Ready To Move,7th phase jp nagar,2 BHK,Vasta C,1190,2,1,49.98,Unknown
Super built-up  Area,Ready To Move,marathahalli,2 BHK,,1220,2,1,56.5,Mahadevapura Zone
Super built-up  Area,Ready To Move,nri layout,3 BHK,,1565,2,2,75,Mahadevapura Zone
Super built-up  Area,Ready To Move,hennur road,3 BHK,SaireSa,1891,3,1,109,Yelahanka Zone
Built-up  Area,Ready To Move,sidedahalli,2 BHK,,900,2,0,27,Dasarahalli Zone
Super built-up  Area,18-Jul,hosa road,2 BHK,Mahesr,1161,2,1,55.15,Bommanahalli Zone
Super built-up  Area,Ready To Move,sarjapur,1 BHK,DSousyl,633 - 666,1,0,17.535,Outside BBMP Zones
Plot  Area,Ready To Move,dwarka nagar,8 Bedroom,,2400,6,3,125,Dasarahalli Zone
Plot  Area,Ready To Move,rajaji nagar,4 Bedroom,,315,4,2,90,West Zone
Super built-up  Area,Ready To Move,yeshwanthpur,1 BHK,IBityin,665,1,1,36.85,Dasarahalli Zone
Super built-up  Area,19-Jan,mysore road,2 BHK,,1175,2,1,73.5,Rajarajeshwari Nagar Zone
Built-up  Area,Ready To Move,hoodi,2 BHK,Goeur G,1425,2,2,80,Mahadevapura Zone
Plot  Area,Ready To Move,chikkabanavar,1 Bedroom,,1200,1,0,20,Dasarahalli Zone
Plot  Area,18-Aug,itpl,3 Bedroom,,1200,3,1,56.12,Mahadevapura Zone
Built-up  Area,Ready To Move,somasundara palya,2 BHK,Abeesmi,1255,2,2,67,Bommanahalli Zone
Super built-up  Area,Ready To Move,hegde nagar,3 BHK,SoisoCa,2112.95,4,2,145,Yelahanka Zone
Super built-up  Area,Ready To Move,raja rajeshwari nagar,1 BHK,,600,1,1,22,Rajarajeshwari Nagar Zone
Super built-up  Area,18-Jul,haralur road,3 BHK,SNnia E,1810,3,2,100,Bommanahalli Zone
Super built-up  Area,Ready To Move,indira nagar,2 BHK,,1200,2,2,93,East Zone
Super built-up  Area,Ready To Move,harlur,2 BHK,,1033,2,2,49,Bommanahalli Zone
Super built-up  Area,Ready To Move,itpl,3 BHK,,1548,3,2,89.5,Mahadevapura Zone
Super built-up  Area,18-May,horamavu banaswadi,3 BHK,,1611,3,3,66,Mahadevapura Zone
Built-up  Area,18-Jul,electronic city phase ii,3 BHK,Sryalan,1400,2,1,40.43,Bommanahalli Zone
Super built-up  Area,Ready To Move,vidyaranyapura,3 BHK,Graceik,1485,2,2,67,Yelahanka Zone
Built-up  Area,Ready To Move,margondanahalli,2 Bedroom,,2400,2,1,82,Mahadevapura Zone
Super built-up  Area,Ready To Move,pattandur agrahara,2 BHK,Shvarji,1025,2,1,44.5,Mahadevapura Zone
Plot  Area,Ready To Move,thurahalli,4 Bedroom,,600,3,2,65,South Zone
Super built-up  Area,Ready To Move,hallehalli,2 BHK,,1225,2,,53,Mahadevapura Zone
Built-up  Area,Ready To Move,5th phase jp nagar,2 BHK,,1256,2,1,62.8,Unknown
Super built-up  Area,Ready To Move,whitefield,4 BHK,ArsiaEx,2268,3,2,163,Mahadevapura Zone
Super built-up  Area,21-Dec,kanakpura road,3 BHK,PrarePa,1100,3,2,53,South Zone
Super built-up  Area,Ready To Move,vadarpalya,2 BHK,VMianri,1141,2,0,62,Outside BBMP Zones
Built-up  Area,Ready To Move,attibele,1 BHK,Jae 1hu,400,1,1,12,Outside BBMP Zones
Plot  Area,Ready To Move,chandapura,2 Bedroom,,1400,2,0,60,Outside BBMP Zones
Super built-up  Area,Ready To Move,kattigenahalli,7 BHK,,4100,7,,140,Yelahanka Zone
Plot  Area,18-Mar,marathi layout,1 Bedroom,,5.31Acres,1,0,110,Unknown
Carpet  Area,Ready To Move,weavers colony,1 BHK,,15,1,0,30,West Zone
Super built-up  Area,Ready To Move,raghavendra nagar,2 BHK,,1175,2,2,48.27,Outside BBMP Zones
Super built-up  Area,Ready To Move,sahakara nagar,2 BHK,,1100,2,1,56,Yelahanka Zone
Super built-up  Area,Ready To Move,kanakpura road,3 BHK,Puestol,1843,3,2,95.84,South Zone
Plot  Area,Ready To Move,1st phase jp nagar,8 Bedroom,,1200,7,2,240,Unknown
Super built-up  Area,19-Dec,horamavu banaswadi,2 BHK,,1460,2,1,80.5,Mahadevapura Zone
Super built-up  Area,Ready To Move,rachenahalli,3 BHK,Sovar S,1530,2,2,74.5,Yelahanka Zone
Built-up  Area,Ready To Move,hsr layout,2 BHK,,1467,2,1,55,Bommanahalli Zone
Super built-up  Area,Ready To Move,kr layout,1 BHK,,950,1,1,40,Outside BBMP Zones
Super built-up  Area,Ready To Move,vittasandra,2 BHK,Prlla C,1246,2,1,64.5,Bommanahalli Zone
Super built-up  Area,19-Dec,kanakapura,1 BHK,GoityEt,711,1,1,38,South Zone
Super built-up  Area,Ready To Move,haralur road,2 BHK,RInceeg,1194,2,2,46,Bommanahalli Zone
Super built-up  Area,Ready To Move,babusapalaya,3 BHK,ARngsd,1358,2,1,43.4,Yelahanka Zone
Carpet  Area,Ready To Move,nagasandra,6 Bedroom,,1500,5,1,130,Dasarahalli Zone
Super built-up  Area,Ready To Move,hoodi,2 BHK,Goeur G,1420,2,2,75,Mahadevapura Zone
Super built-up  Area,Ready To Move,kathriguppe,3 BHK,,1250,2,1,68.75,South Zone
Built-up  Area,Ready To Move,akshaya nagar,2 BHK,,1280,2,,58,Bommanahalli Zone
Super built-up  Area,Ready To Move,nagappa reddy layout,2 BHK,Gruesaf,1209,2,1,50,Outside BBMP Zones
Built-up  Area,Ready To Move,kempapura,5 Bedroom,,4200,5,2,225,Yelahanka Zone
Plot  Area,Ready To Move,btm 1st stage,4 Bedroom,,1215,4,3,205,Unknown
Super built-up  Area,Ready To Move,panathur,3 BHK,Saite G,1315,2,1,54.8,Mahadevapura Zone
Super built-up  Area,Ready To Move,kariyammana agrahara,3 BHK,,1800,3,3,90,Mahadevapura Zone
Built-up  Area,Ready To Move,hessarghatta,5 Bedroom,,1600,4,0,125,Dasarahalli Zone
Super built-up  Area,Ready To Move,tc palaya,3 BHK,RKncyha,1600,2,2,65,Mahadevapura Zone
Plot  Area,Ready To Move,binnamangala,6 Bedroom,,3968,5,2,900,East Zone
Super built-up  Area,Ready To Move,suraksha nagar,3 BHK,AritaFe,1563,3,2,52,Outside BBMP Zones
Super built-up  Area,Ready To Move,whitefield,3 BHK,SRidePr,1560,2,2,72,Mahadevapura Zone
Super built-up  Area,Ready To Move,brookefield,3 BHK,Krrbsil,2169,4,,115,Mahadevapura Zone
Plot  Area,Ready To Move,lakshmi layout,9 Bedroom,,900,10,,170,Unknown
Super built-up  Area,Ready To Move,rachenahalli,2 BHK,,1050,2,2,55.5,Yelahanka Zone
Super built-up  Area,Ready To Move,iblur village,3 BHK,Emine P,3235,3,1,235,Mahadevapura Zone
Plot  Area,Ready To Move,tc palaya,3 Bedroom,,1200,3,0,66,Mahadevapura Zone
Super built-up  Area,Ready To Move,hsr layout,2 BHK,NRosete,1140,2,2,46,Bommanahalli Zone
Plot  Area,Ready To Move,7th phase jp nagar,3 Bedroom,,1500,3,1,170,Unknown
Super built-up  Area,Ready To Move,horamavu agara,3 BHK,,1560,3,2,75,Mahadevapura Zone
Super built-up  Area,Ready To Move,jp nagar,2 BHK,Saowsri,1100,2,2,70,South Zone
Super built-up  Area,Ready To Move,kasavanhalli,3 BHK,,1260,2,3,40.32,Mahadevapura Zone
Super built-up  Area,18-Mar,hebbal,2 BHK,Arcia S,1036,2,1,50,Yelahanka Zone
Built-up  Area,Ready To Move,akshaya nagar,3 BHK,DLhtsnd,1662,3,3,85.1,Bommanahalli Zone
Super built-up  Area,Ready To Move,yelachenahalli,3 BHK,PuontBe,1464,2,3,105,South Zone
Super built-up  Area,Ready To Move,yelahanka,2 BHK,NCowsar,1234,2,2,80,Yelahanka Zone
Super built-up  Area,Ready To Move,sarjapur road,3 BHK,Arldsyo,1403,3,1,55,Bommanahalli Zone
Plot  Area,Ready To Move,kadugondanahalli,4 Bedroom,,915,4,1,54.9,East Zone
Plot  Area,Ready To Move,2nd stage nagarbhavi,6 Bedroom,,3000,8,3,451,Unknown
Super built-up  Area,Ready To Move,seegehalli,3 BHK,,1150,2,2,42.9,Mahadevapura Zone
Built-up  Area,Ready To Move,hebbal,4 BHK,RMudeat,3900,4,2,410,Yelahanka Zone
Built-up  Area,Ready To Move,yeshwanthpur,5 Bedroom,,850,4,2,90,Dasarahalli Zone
Super built-up  Area,18-Mar,kanakapura,2 BHK,,929,2,1,46,South Zone
Plot  Area,Ready To Move,2nd stage nagarbhavi,6 Bedroom,,2400,8,3,450,Unknown
Plot  Area,Ready To Move,tc palaya,3 Bedroom,,1350,2,1,75,Mahadevapura Zone
Super built-up  Area,Ready To Move,vasanthapura,2 BHK,,1135,2,1,39.73,South Zone
Built-up  Area,Ready To Move,basava nagar,2 BHK,Saarea,1405,2,2,70,Mahadevapura Zone
Plot  Area,18-Sep,whitefield,2 Bedroom,,1200,2,1,45.84,Mahadevapura Zone
Super built-up  Area,18-Apr,haralur road,4 BHK,SNnia E,2805,4,3,154,Bommanahalli Zone
Super built-up  Area,Ready To Move,yeshwanthpur,2 BHK,IBityin,1161,2,2,64.08,Dasarahalli Zone
Super built-up  Area,18-Dec,kanakpura road,2 BHK,Soena A,1290,2,3,74,South Zone
Super built-up  Area,Ready To Move,yeshwanthpur,3 BHK,IBityin,2557,3,2,141,Dasarahalli Zone
Built-up  Area,Ready To Move,2nd block hrbr layout,3 BHK,Raaden,1480,3,2,90,Unknown
Plot  Area,Ready To Move,btm 1st stage,9 Bedroom,Srvasks,3300,14,,500,Unknown
Super built-up  Area,20-Dec,old madras road,3 BHK,SheldGr,1350,3,0,54.54,East Zone
Super built-up  Area,Ready To Move,kadugodi,3 BHK,MSingco,1580,2,2,65,Mahadevapura Zone
Super built-up  Area,17-Oct,banashankari,3 BHK,,1470,2,1,88.64,South Zone
Super built-up  Area,18-Jun,ananth nagar,1 BHK,,500,1,1,14,Bommanahalli Zone
Super built-up  Area,18-Sep,sarjapur road,2 BHK,PualeSk,1346,2,1,61.92,Bommanahalli Zone
Super built-up  Area,Ready To Move,canara bank layout,3 BHK,,1600,3,3,90,Unknown
Super built-up  Area,Ready To Move,naganathapura,2 BHK,,720,2,1,120,Bommanahalli Zone
Plot  Area,19-Mar,narasapura,2 Bedroom,,30Acres,2,2,29.5,Outside BBMP Zones
Plot  Area,Ready To Move,manjunath nagar,4 Bedroom,,1200,4,0,135,West Zone
Super built-up  Area,Ready To Move,basapura,2 BHK,RMncy R,1200,2,2,35,Bommanahalli Zone
Built-up  Area,Ready To Move,channasandra,3 BHK,Pritehi,1340,2,2,48.33,Mahadevapura Zone
Plot  Area,Ready To Move,devanahalli,4 Bedroom,Soyleif,6136,4,,560,Outside BBMP Zones
Super built-up  Area,Ready To Move,jigani,2 BHK,DLhtsan,918,2,2,48,Outside BBMP Zones
Plot  Area,Ready To Move,singena agrahara,3 Bedroom,CoiewSy,1500,3,2,115,Outside BBMP Zones
Super built-up  Area,Ready To Move,yelahanka,2 BHK,Velas V,1315,2,2,85,Yelahanka Zone
Plot  Area,Ready To Move,sector 1 hsr layout,4 Bedroom,,2400,5,,775,Unknown
Super built-up  Area,Ready To Move,uttarahalli,3 BHK,,1390,2,2,62.55,South Zone
Super built-up  Area,Ready To Move,uttarahalli,3 BHK,Aklia R,1330,2,1,56,South Zone
Built-up  Area,Ready To Move,jalahalli,5 BHK,BrardCo,3100,4,,265,Dasarahalli Zone
Super built-up  Area,17-Dec,mango garden layout,3 BHK,Ceral C,1824,3,3,125,Unknown
Super built-up  Area,Ready To Move,7th phase jp nagar,3 BHK,Brnia G,1420,2,2,96,Unknown
Plot  Area,Ready To Move,kacharakanahalli,1 Bedroom,,750,1,0,56.25,East Zone
Super built-up  Area,Ready To Move,jalahalli east,3 BHK,ShshaSa,1260,2,1,60,Yelahanka Zone
Super built-up  Area,19-Sep,hennur road,3 BHK,Orens G,1561,3,2,95,Yelahanka Zone
Plot  Area,Ready To Move,5th phase jp nagar,9 Bedroom,,812,6,3,165,Unknown
Super built-up  Area,Ready To Move,bidere agarahara behind safal market,2 BHK,,1060,2,2,42,Mahadevapura Zone
Plot  Area,Ready To Move,hoodi,8 Bedroom,,1120,8,3,145,Mahadevapura Zone
Super built-up  Area,18-Jul,haralur road,2 BHK,SNnia E,1225,2,1,67.38,Bommanahalli Zone
Super built-up  Area,Ready To Move,thanisandra,3 BHK,Soitya,2144,3,2,135,Yelahanka Zone
Plot  Area,Ready To Move,kengeri,7 Bedroom,,1200,6,2,140,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,electronic city,2 BHK,Itelaa,880,2,2,29,Bommanahalli Zone
Super built-up  Area,21-Dec,hoodi,3 BHK,GoAirej,1639,3,2,110,Mahadevapura Zone
Built-up  Area,Ready To Move,thanisandra,3 BHK,Pronyt,1240,2,1,62,Yelahanka Zone
Super built-up  Area,Ready To Move,kanakpura road,2 BHK,,1500,2,2,69,South Zone
Super built-up  Area,Ready To Move,haralur road,2 BHK,RInceeg,1243,2,1,46,Bommanahalli Zone
Super built-up  Area,Ready To Move,marathahalli,3 BHK,Aiitya,1575,3,,78,Mahadevapura Zone
Super built-up  Area,Ready To Move,haralur road,2 BHK,,1027,2,2,44,Bommanahalli Zone
Super built-up  Area,Ready To Move,kambipura,3 BHK,Prrtht,1082,2,1,56,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,konanakunte,3 BHK,,1637,3,3,73,South Zone
Super built-up  Area,Ready To Move,kanakpura road,3 BHK,Puestol,1665,3,2,86.58,South Zone
Super built-up  Area,18-Dec,electronic city,2 BHK,GoontLa,1265,2,0,56.93,Bommanahalli Zone
Super built-up  Area,21-Dec,electronic city,3 BHK,KonteiT,1691,2,2,102,Bommanahalli Zone
Super built-up  Area,Ready To Move,thanisandra,2 BHK,SLaceda,1100,2,1,38,Yelahanka Zone
Built-up  Area,Ready To Move,grihalakshmi layout,5 Bedroom,,24,2,2,150,West Zone
Plot  Area,19-Jan,gopalkrishna nagar,3 Bedroom,,1500,3,2,62,West Zone
Built-up  Area,Ready To Move,hosakerehalli,4 BHK,Taonte,3205,5,1,380,Rajarajeshwari Nagar Zone
Built-up  Area,Ready To Move,kammanahalli,5 Bedroom,,1666,4,1,150,East Zone
Super built-up  Area,Ready To Move,choodasandra,2 BHK,GRhtiru,1115,2,2,50,South Zone
Super built-up  Area,Ready To Move,mysore road,2 BHK,Brama P,1070,2,1,45,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,indira nagar,2 BHK,Aentsbe,1128,2,2,105,East Zone
Super built-up  Area,Ready To Move,budigere,2 BHK,PrityTr,1162,2,1,57,Outside BBMP Zones
Super built-up  Area,Ready To Move,sai gardens,2 BHK,Alivae,1339,2,2,55,Unknown
Super built-up  Area,Ready To Move,mahadevpura,2 BHK,Neagar,1192,2,2,75,Mahadevapura Zone
Super built-up  Area,Ready To Move,haralur road,3 BHK,DSimaUl,1920,3,1,115,Bommanahalli Zone
Super built-up  Area,Ready To Move,hennur,2 BHK,Shateor,1255,2,1,52.32,Yelahanka Zone
Super built-up  Area,18-Apr,rajaji nagar,2 BHK,ProdsWe,1357,2,1,115,West Zone
Super built-up  Area,Ready To Move,dodda kempaiah layout,3 BHK,,1600,3,2,75,Unknown
Super built-up  Area,Ready To Move,hanumanth nagar,2 BHK,Saersel,1225,2,2,55.11,South Zone
Plot  Area,Ready To Move,whitefield,4 Bedroom,Saark H,2400,4,3,200,Mahadevapura Zone
Super built-up  Area,Ready To Move,kasturi nagar,3 BHK,,1570,3,3,80,East Zone
