area_type,availability,location,size,society,total_sqft,bath,balcony,price,zone_name,bhk,price_per_sqft
Super built-up  Area,Ready To Move,varthur,2 BHK,DSingSt,1112.0,2.0,2.0,40.0,Mahadevapura Zone,2,3597.122302158273
Super built-up  Area,Ready To Move,marathahalli,3 BHK,Unknown,1385.0,2.0,2.0,66.65,Mahadevapura Zone,3,4812.274368231047
Super built-up  Area,Ready To Move,subramanyapura,2 BHK,Mayne A,985.0,2.0,1.0,58.0,South Zone,2,5888.324873096447
Super built-up  Area,Ready To Move,kanakpura road,2 BHK,Unknown,1080.0,2.0,1.0,37.8,South Zone,2,3499.9999999999995
Super built-up  Area,Ready To Move,kengeri satellite town,2 BHK,Malowr,1050.0,2.0,2.0,43.0,Rajarajeshwari Nagar Zone,2,4095.2380952380954
Plot  Area,Ready To Move,kumaraswami layout,4 Bedroom,Unknown,2000.0,4.0,1.0,139.0,South Zone,4,6950.0
Built-up  Area,Ready To Move,banashankari stage vi,4 Bedroom,Unknown,4800.0,4.0,3.0,190.0,South Zone,4,3958.3333333333335
Built-up  Area,Ready To Move,iti layout,3 BHK,Arnorya,1533.0,3.0,2.0,115.0,South Zone,3,7501.630789302022
Plot  Area,Ready To Move,ramamohanapuram,4 Bedroom,Unknown,2800.0,3.0,2.0,500.0,West Zone,4,17857.14285714286
Super built-up  Area,Ready To Move,malleshwaram,3 BHK,Vaonyi,2610.0,3.0,2.0,399.0,West Zone,3,15287.356321839081
Super built-up  Area,Ready To Move,lakshminarayana pura,3 BHK,RothaVa,1750.0,3.0,2.0,150.0,West Zone,3,8571.42857142857
Plot  Area,Ready To Move,tc palaya,3 Bedroom,Unknown,1200.0,2.0,0.0,66.0,Mahadevapura Zone,3,5500.0
Super built-up  Area,Ready To Move,prithvi layout,2 BHK,Prlmsge,1352.0,2.0,2.0,87.5,East Zone,2,6471.89349112426
Super built-up  Area,Ready To Move,harlur,3 BHK,SosicCl,1754.0,3.0,2.0,125.0,Bommanahalli Zone,3,7126.567844925884
Built-up  Area,Ready To Move,tejaswini nagar,3 BHK,Paion P,1560.0,3.0,2.0,85.0,South Zone,3,5448.717948717948
Super built-up  Area,Ready To Move,whitefield,4 BHK,Unknown,3584.0,4.0,2.0,199.0,Mahadevapura Zone,4,5552.455357142857
Super built-up  Area,Ready To Move,channasandra,3 BHK,Pritehi,1470.0,2.0,1.0,90.0,Mahadevapura Zone,3,6122.448979591837
Built-up  Area,Ready To Move,9th phase jp nagar,2 BHK,NaensGa,1035.0,2.0,1.0,45.0,Unknown,2,4347.826086956522
Plot  Area,Ready To Move,whitefield,4 Bedroom,PrOakSi,2400.0,5.0,2.0,329.0,Mahadevapura Zone,4,13708.333333333334
Built-up  Area,Ready To Move,kammanahalli,2 BHK,Unknown,1160.0,2.0,1.0,52.0,East Zone,2,4482.758620689655
Super built-up  Area,Ready To Move,jakkur,2 BHK,Elidet,1100.0,2.0,2.0,52.0,Yelahanka Zone,2,4727.272727272727
Super built-up  Area,Ready To Move,horamavu agara,2 BHK,Unknown,1170.0,2.0,2.0,38.0,Mahadevapura Zone,2,3247.863247863248
Super built-up  Area,Ready To Move,hsr layout,3 BHK,Brstark,1650.0,3.0,2.0,110.0,Bommanahalli Zone,3,6666.666666666667
Super built-up  Area,Ready To Move,1st block jayanagar,3 BHK,Unknown,1875.0,2.0,3.0,235.0,Unknown,3,12533.333333333334
Super built-up  Area,Ready To Move,kanakapura road,3 BHK,Unknown,1375.0,2.0,3.0,48.06,South Zone,3,3495.2727272727275
Super built-up  Area,Ready To Move,kaveri nagar,1 BHK,Unknown,750.0,1.0,2.0,25.0,South Zone,1,3333.3333333333335
Built-up  Area,Ready To Move,7th phase jp nagar,3 BHK,Eladero,1400.0,3.0,1.0,115.0,Unknown,3,8214.285714285714
Super built-up  Area,Ready To Move,poorna pragna layout,3 BHK,Unknown,1270.0,2.0,2.0,50.79,Outside BBMP Zones,3,3999.212598425197
Super built-up  Area,Ready To Move,sundar ram shetty nagar,3 BHK,NeendLe,1375.0,2.0,3.0,85.0,South Zone,3,6181.818181818182
Plot  Area,Ready To Move,attibele,4 Bedroom,Unknown,2168.0,4.0,2.0,95.0,Outside BBMP Zones,4,4381.918819188192
Super built-up  Area,Ready To Move,yelahanka,2 BHK,Ulure S,1065.0,2.0,1.0,40.84,Yelahanka Zone,2,3834.7417840375592
Plot  Area,Ready To Move,sector 6 hsr layout,3 Bedroom,Unknown,3800.0,3.0,0.0,580.0,Unknown,3,15263.157894736842
Plot  Area,Ready To Move,raja rajeshwari nagar,9 Bedroom,Unknown,3125.0,9.0,2.0,350.0,Rajarajeshwari Nagar Zone,9,11200.0
Super built-up  Area,Ready To Move,whitefield,1 BHK,UKe 2nz,825.0,1.0,1.0,45.0,Mahadevapura Zone,1,5454.545454545455
Built-up  Area,Ready To Move,nelamangala,2 BHK,Unknown,1095.0,2.0,0.0,40.0,Outside BBMP Zones,2,3652.9680365296804
Super built-up  Area,Ready To Move,electronic city,2 BHK,GMown E,870.0,2.0,1.0,39.5,Bommanahalli Zone,2,4540.229885057472
Super built-up  Area,Ready To Move,panathur,2 BHK,Prcesvy,1195.0,2.0,1.0,84.0,Mahadevapura Zone,2,7029.28870292887
Super built-up  Area,Ready To Move,kirloskar layout basaveshwarnagar,2 BHK,Unknown,1200.0,2.0,1.0,49.5,West Zone,2,4125.0
Super built-up  Area,Ready To Move,raja rajeshwari nagar,3 BHK,Lancy R,1530.0,3.0,3.0,61.2,Rajarajeshwari Nagar Zone,3,4000.0
Super built-up  Area,Ready To Move,alfa garden layout,2 BHK,Saeina,975.0,2.0,1.0,43.0,South Zone,2,4410.25641025641
Built-up  Area,Ready To Move,kr puram,2 BHK,Unknown,750.0,2.0,1.0,25.0,Mahadevapura Zone,2,3333.3333333333335
Super built-up  Area,Ready To Move,mico layout,3 BHK,Inasy E,1550.0,2.0,2.0,65.0,Bommanahalli Zone,3,4193.548387096775
Super built-up  Area,Ready To Move,kaggadasapura,2 BHK,Frides,1110.0,2.0,3.0,53.0,Mahadevapura Zone,2,4774.774774774774
Super built-up  Area,Ready To Move,kaggadasapura,2 BHK,SLireap,1105.0,2.0,1.0,38.67,Mahadevapura Zone,2,3499.547511312217
Plot  Area,Ready To Move,anekal,3 Bedroom,Unknown,1800.0,3.0,2.0,68.0,Outside BBMP Zones,3,3777.777777777778
Super built-up  Area,Ready To Move,2nd phase jp nagar,5 BHK,Unknown,2800.0,4.0,2.0,200.0,Unknown,5,7142.857142857143
Built-up  Area,Ready To Move,prithvi layout,2 BHK,Unknown,1190.0,2.0,2.0,68.0,East Zone,2,5714.285714285715
Plot  Area,Ready To Move,2nd stage nagarbhavi,4 Bedroom,Unknown,1350.0,4.0,1.0,200.0,Unknown,4,14814.814814814816
Built-up  Area,Ready To Move,ramamurthy nagar,3 BHK,SVyam N,1525.0,3.0,1.0,100.0,Mahadevapura Zone,3,6557.377049180328
Super built-up  Area,Ready To Move,nehru nagar,3 BHK,Ceste C,1775.0,3.0,3.0,110.0,West Zone,3,6197.183098591549
Built-up  Area,Ready To Move,banashankari,2 BHK,Koestpt,1125.0,2.0,1.0,63.0,South Zone,2,5600.0
Super built-up  Area,Ready To Move,hessarghatta,2 BHK,Unknown,900.0,2.0,2.0,42.0,Dasarahalli Zone,2,4666.666666666667
Built-up  Area,Ready To Move,hulimavu,4 Bedroom,Unknown,1200.0,4.0,0.0,75.0,Bommanahalli Zone,4,6250.0
Super built-up  Area,Ready To Move,sonnenahalli,2 BHK,Skacak,1268.0,2.0,1.0,73.0,Outside BBMP Zones,2,5757.097791798107
Built-up  Area,Ready To Move,hoodi layout,3 BHK,SVstos,1500.0,3.0,2.0,88.0,Mahadevapura Zone,3,5866.666666666667
Super built-up  Area,Ready To Move,seegehalli,3 BHK,Paoliy,1525.0,3.0,2.0,65.0,Mahadevapura Zone,3,4262.295081967213
Super built-up  Area,Ready To Move,kaggadasapura,2 BHK,Mebhaee,1060.0,2.0,2.0,48.0,Mahadevapura Zone,2,4528.301886792453
Super built-up  Area,Ready To Move,lingadheeranahalli,3 BHK,Soiewre,1687.0,3.0,3.0,127.0,Bommanahalli Zone,3,7528.156490812093
Super built-up  Area,Ready To Move,thanisandra,3 BHK,Soitya,1847.0,3.0,2.0,123.0,Yelahanka Zone,3,6659.447753113156
Super built-up  Area,Ready To Move,begur road,3 BHK,Dhalsh,1410.0,2.0,3.0,53.0,Bommanahalli Zone,3,3758.8652482269504
Super built-up  Area,Ready To Move,7th phase jp nagar,2 BHK,SrncyRe,1075.0,2.0,1.0,42.99,Unknown,2,3999.0697674418607
Super built-up  Area,Ready To Move,rajaji nagar,4 BHK,PhestOn,3526.0,4.0,2.0,492.0,West Zone,4,13953.488372093023
Built-up  Area,Ready To Move,btm layout,3 Bedroom,Unknown,3000.0,3.0,0.0,338.0,Bommanahalli Zone,3,11266.666666666666
Built-up  Area,Ready To Move,gaundanapalya,2 BHK,Sioma A,1010.0,2.0,2.0,46.0,South Zone,2,4554.455445544554
Super built-up  Area,Ready To Move,kasturi nagar,2 BHK,Unknown,1101.0,2.0,2.0,65.0,East Zone,2,5903.723887375114
Super built-up  Area,Ready To Move,laxmi sagar layout,2 BHK,DubowRa,1140.0,2.0,1.0,76.0,South Zone,2,6666.666666666667
Super built-up  Area,Ready To Move,sarjapur road,2 BHK,Adeatlm,1215.0,2.0,2.0,110.0,Bommanahalli Zone,2,9053.497942386832
Super built-up  Area,Ready To Move,kengeri satellite town,2 BHK,Unknown,1007.0,2.0,3.0,42.0,Rajarajeshwari Nagar Zone,2,4170.8043694141015
Super built-up  Area,Ready To Move,bellandur,3 BHK,SoderLa,2039.0,3.0,2.0,168.0,Mahadevapura Zone,3,8239.333006375675
Built-up  Area,Ready To Move,ulsoor,3 BHK,Unknown,1020.0,3.0,2.0,110.0,East Zone,3,10784.313725490196
Super built-up  Area,Ready To Move,outer ring road east,2 BHK,Unknown,1198.0,2.0,1.0,84.0,Mahadevapura Zone,2,7011.686143572621
Built-up  Area,Ready To Move,5th block koramangala,4 BHK,Unknown,4000.0,4.0,1.0,520.0,Unknown,4,13000.0
Built-up  Area,Ready To Move,jakkuryelahanka,2 BHK,Unknown,1370.0,2.0,2.0,75.0,Yelahanka Zone,2,5474.4525547445255
Super built-up  Area,Ready To Move,yemlur,2 BHK,Unknown,1316.0,2.0,3.0,55.5,Mahadevapura Zone,2,4217.325227963526
Super built-up  Area,Ready To Move,kaggadasapura,3 BHK,Foity S,1350.0,3.0,1.0,55.5,Mahadevapura Zone,3,4111.111111111111
Carpet  Area,Ready To Move,kr puram,3 BHK,Jahidva,1128.76,3.0,0.0,47.405,Mahadevapura Zone,3,4199.741309047096
Super built-up  Area,Ready To Move,electronic city,2 BHK,PrwarSa,921.0,2.0,1.0,34.0,Bommanahalli Zone,2,3691.6395222584147
Super built-up  Area,Ready To Move,kundalahalli,2 BHK,Rasom B,1010.0,2.0,1.0,49.27,Mahadevapura Zone,2,4878.217821782178
Plot  Area,Ready To Move,tc palaya,3 Bedroom,Unknown,1200.0,2.0,0.0,66.5,Mahadevapura Zone,3,5541.666666666667
Built-up  Area,Ready To Move,lakshminarayana pura,2 BHK,RothaVa,1179.0,2.0,1.0,75.0,West Zone,2,6361.323155216285
Built-up  Area,Ready To Move,anjanapura,4 BHK,Unknown,1850.0,4.0,2.0,86.0,South Zone,4,4648.648648648648
Super built-up  Area,Ready To Move,kammasandra,2 BHK,Prarkhi,870.0,2.0,1.0,24.0,Outside BBMP Zones,2,2758.6206896551726
Super built-up  Area,Ready To Move,bellandur,3 BHK,Unknown,1605.0,3.0,2.0,85.0,Mahadevapura Zone,3,5295.95015576324
Plot  Area,Ready To Move,banashankari stage vi,4 Bedroom,Unknown,2800.0,4.0,2.0,89.0,South Zone,4,3178.5714285714284
Super built-up  Area,Ready To Move,malleshwaram,3 BHK,Sariaat,2475.0,4.0,3.0,320.0,West Zone,3,12929.29292929293
Plot  Area,Ready To Move,ngef layout,2 Bedroom,Unknown,3000.0,2.0,0.0,510.0,Mahadevapura Zone,2,17000.0
Plot  Area,Ready To Move,bileshivale,6 Bedroom,Unknown,2400.0,7.0,2.0,110.0,Yelahanka Zone,6,4583.333333333333
Super built-up  Area,Ready To Move,2nd phase jp nagar,2 BHK,Gintsar,1000.0,1.0,1.0,55.0,Unknown,2,5500.0
Plot  Area,Ready To Move,ramamurthy nagar,2 Bedroom,Unknown,1200.0,2.0,0.0,80.0,Mahadevapura Zone,2,6666.666666666667
Plot  Area,Ready To Move,manjunatha layout,2 Bedroom,Unknown,1200.0,2.0,2.0,125.0,Outside BBMP Zones,2,10416.666666666666
Built-up  Area,Ready To Move,kashi nagar,2 BHK,Unknown,1200.0,2.0,2.0,50.0,South Zone,2,4166.666666666667
Super built-up  Area,Ready To Move,hennur,2 BHK,Shateor,1255.0,2.0,1.0,57.5,Yelahanka Zone,2,4581.673306772908
Super built-up  Area,Ready To Move,hosur road,2 BHK,Collsrn,1085.0,2.0,2.0,30.38,Bommanahalli Zone,2,2800.0
Super built-up  Area,Ready To Move,harlur,2 BHK,Sancyi,1200.0,2.0,1.0,49.5,Bommanahalli Zone,2,4125.0
Super built-up  Area,Ready To Move,uttarahalli,6 BHK,PoetyHo,3600.0,6.0,2.0,120.0,South Zone,6,3333.3333333333335
Built-up  Area,Ready To Move,bommasandra,2 BHK,Vaodspe,877.0,2.0,2.0,30.0,Outside BBMP Zones,2,3420.752565564424
Super built-up  Area,Ready To Move,ashwathnagar,2 BHK,GMentAp,936.0,2.0,2.0,42.0,Mahadevapura Zone,2,4487.179487179487
Super built-up  Area,Ready To Move,nagasandra,3 BHK,Unknown,1470.0,2.0,2.0,110.0,Dasarahalli Zone,3,7482.993197278912
Built-up  Area,Ready To Move,upkar layout,1 Bedroom,Unknown,1050.0,1.0,1.0,70.0,Rajarajeshwari Nagar Zone,1,6666.666666666667
Super built-up  Area,Ready To Move,ambedkar nagar,3 BHK,SoechHa,2225.0,4.0,2.0,169.0,East Zone,3,7595.505617977528
Plot  Area,Ready To Move,sunkadakatte,3 Bedroom,Unknown,1200.0,2.0,0.0,80.0,Dasarahalli Zone,3,6666.666666666667
Super built-up  Area,Ready To Move,dasarahalli,3 BHK,Sooneoo,1901.0,3.0,2.0,119.0,Dasarahalli Zone,3,6259.863229879011
Super built-up  Area,Ready To Move,hosur main road,3 BHK,Unknown,1464.0,3.0,2.0,56.0,Bommanahalli Zone,3,3825.136612021858
Super built-up  Area,Ready To Move,old madras road,4 BHK,Brica E,3715.0,6.0,0.0,200.5,East Zone,4,5397.039030955585
Built-up  Area,Ready To Move,9th phase jp nagar,4 BHK,ImiteEl,5000.0,4.0,3.0,290.0,Unknown,4,5800.0
Super built-up  Area,Ready To Move,someshwara layout,4 BHK,Unknown,1200.0,4.0,3.0,169.0,Unknown,4,14083.333333333334
Super built-up  Area,Ready To Move,kacharakanahalli,2 BHK,Unknown,1256.0,2.0,1.0,60.0,East Zone,2,4777.070063694267
Super built-up  Area,Ready To Move,7th phase jp nagar,2 BHK,Unknown,1100.0,2.0,2.0,44.0,Unknown,2,4000.0
Plot  Area,Ready To Move,tc palaya,4 Bedroom,Unknown,4800.0,3.0,3.0,302.0,Mahadevapura Zone,4,6291.666666666667
Super built-up  Area,Ready To Move,kothanur,3 BHK,Unknown,1435.0,3.0,3.0,70.0,Yelahanka Zone,3,4878.048780487805
Super built-up  Area,Ready To Move,6th phase jp nagar,4 BHK,Unknown,3245.0,4.0,2.0,250.0,Unknown,4,7704.160246533128
Super built-up  Area,Ready To Move,sarjapur road,3 BHK,Ceiti I,1845.0,4.0,1.0,110.0,Bommanahalli Zone,3,5962.059620596206
Plot  Area,Ready To Move,jigani,3 Bedroom,Unknown,2400.0,4.0,1.0,130.0,Outside BBMP Zones,3,5416.666666666667
Super built-up  Area,Ready To Move,hsr layout,2 BHK,NRosete,1140.0,2.0,2.0,46.0,Bommanahalli Zone,2,4035.0877192982457
Super built-up  Area,Ready To Move,frazer town,3 BHK,Asareur,1750.0,3.0,2.0,150.0,East Zone,3,8571.42857142857
Built-up  Area,Ready To Move,jalahalli west,2 BHK,Caiseha,1020.0,2.0,1.0,37.0,Dasarahalli Zone,2,3627.450980392157
Built-up  Area,Ready To Move,bommanahalli,1 BHK,Unknown,515.0,1.0,1.0,25.0,Bommanahalli Zone,1,4854.368932038835
Super built-up  Area,Ready To Move,lingadheeranahalli,3 BHK,Soiewre,1893.0,3.0,2.0,140.0,Bommanahalli Zone,3,7395.66825145272
Super built-up  Area,Ready To Move,vasanth nagar,3 BHK,Pricae,3025.0,3.0,0.0,500.0,East Zone,3,16528.92561983471
Built-up  Area,Ready To Move,suddaguntepalya,2 BHK,Unknown,830.0,2.0,0.0,34.0,South Zone,2,4096.385542168675
Built-up  Area,Ready To Move,singasandra,2 Bedroom,Unknown,600.0,2.0,1.0,36.5,Bommanahalli Zone,2,6083.333333333333
Super built-up  Area,Ready To Move,bisuvanahalli,3 BHK,Prityel,1075.0,2.0,1.0,90.0,Outside BBMP Zones,3,8372.093023255815
Super built-up  Area,Ready To Move,kasavanhalli,2 BHK,HMonymp,1200.0,2.0,1.0,78.0,Mahadevapura Zone,2,6500.0
Super built-up  Area,Ready To Move,bannerghatta road,2 BHK,SNity S,1255.0,2.0,2.0,65.26,South Zone,2,5200.000000000001
Super built-up  Area,Ready To Move,begur road,2 BHK,Unknown,1200.0,2.0,2.0,37.8,Bommanahalli Zone,2,3149.9999999999995
Super built-up  Area,Ready To Move,varthur,3 BHK,Unknown,2145.0,3.0,2.0,175.0,Mahadevapura Zone,3,8158.508158508159
Built-up  Area,Ready To Move,1st phase jp nagar,5 Bedroom,Unknown,1500.0,5.0,2.0,85.0,Unknown,5,5666.666666666667
Built-up  Area,Ready To Move,kothannur,2 BHK,Unknown,740.0,2.0,1.0,34.0,Yelahanka Zone,2,4594.594594594595
Super built-up  Area,Ready To Move,kengeri,3 BHK,Unknown,1250.0,3.0,3.0,48.0,Rajarajeshwari Nagar Zone,3,3840.0
Super built-up  Area,Ready To Move,channasandra layout,2 BHK,Unknown,1210.0,2.0,2.0,40.0,Mahadevapura Zone,2,3305.785123966942
Super built-up  Area,Ready To Move,sarjapur road,3 BHK,Shthi S,1525.0,2.0,2.0,60.0,Bommanahalli Zone,3,3934.4262295081967
Built-up  Area,Ready To Move,kogilu,1 Bedroom,Unknown,540.0,1.0,0.0,36.0,Yelahanka Zone,1,6666.666666666667
Super built-up  Area,Ready To Move,tumkur road,3 BHK,Sahtsva,1240.0,2.0,1.0,84.0,Dasarahalli Zone,3,6774.193548387097
Super built-up  Area,Ready To Move,subramanyapura,3 BHK,Mayne A,1245.0,2.0,1.0,68.0,South Zone,3,5461.847389558233
Plot  Area,Ready To Move,hal 3rd stage,3 Bedroom,Unknown,1865.0,3.0,3.0,350.0,Unknown,3,18766.756032171583
Super built-up  Area,Ready To Move,bisuvanahalli,3 BHK,Prityel,1075.0,2.0,1.0,35.99,Outside BBMP Zones,3,3347.906976744186
Super built-up  Area,Ready To Move,whitefield,2 BHK,SrireSo,1155.0,2.0,1.0,60.0,Mahadevapura Zone,2,5194.805194805195
Super built-up  Area,Ready To Move,doctors layout,2 BHK,Mavelr,1520.0,2.0,3.0,62.0,Bommanahalli Zone,2,4078.9473684210525
Super built-up  Area,Ready To Move,thigalarapalya,4 BHK,Prtanha,3122.0,6.0,2.0,245.0,Mahadevapura Zone,4,7847.533632286995
Super built-up  Area,Ready To Move,harlur,2 BHK,Prncyrn,1290.0,2.0,1.0,85.0,Bommanahalli Zone,2,6589.147286821705
Built-up  Area,Ready To Move,1st block hrbr layout,3 BHK,Unknown,2300.0,3.0,2.0,80.0,Unknown,3,3478.2608695652175
Built-up  Area,Ready To Move,kannamangala,4 Bedroom,Unknown,3000.0,4.0,0.0,200.0,Outside BBMP Zones,4,6666.666666666667
Super built-up  Area,Ready To Move,whitefield,4 BHK,Haestt,1285.0,4.0,2.0,270.0,Mahadevapura Zone,4,21011.673151750972
Built-up  Area,Ready To Move,austin town,1 BHK,Unknown,400.0,1.0,0.0,14.0,East Zone,1,3500.0
Super built-up  Area,Ready To Move,banashankari,3 BHK,Unknown,1340.0,2.0,3.0,53.6,South Zone,3,4000.0
Super built-up  Area,Ready To Move,malleshwaram,2 BHK,SrntsRV,900.0,2.0,1.0,95.0,West Zone,2,10555.555555555555
Plot  Area,Ready To Move,rajaji nagar,6 Bedroom,Unknown,1800.0,4.0,2.0,324.0,West Zone,6,18000.0
Super built-up  Area,Ready To Move,hennur road,2 BHK,Koagati,987.0,2.0,1.0,49.0,Yelahanka Zone,2,4964.5390070921985
Super built-up  Area,Ready To Move,old madras road,3 BHK,Brglede,1720.0,3.0,2.0,100.0,East Zone,3,5813.953488372093
Super built-up  Area,Ready To Move,hebbal,2 BHK,Ratlet,1040.0,2.0,1.0,50.0,Yelahanka Zone,2,4807.692307692308
Built-up  Area,Ready To Move,anandapura,2 Bedroom,Unknown,900.0,2.0,0.0,64.0,East Zone,2,7111.111111111111
Built-up  Area,Ready To Move,raja rajeshwari nagar,2 BHK,Neess P,1030.0,2.0,1.0,50.0,Rajarajeshwari Nagar Zone,2,4854.368932038835
Super built-up  Area,Ready To Move,neeladri nagar,3 BHK,GeereEc,2556.0,3.0,2.0,133.0,Bommanahalli Zone,3,5203.442879499217
Super built-up  Area,Ready To Move,basavangudi,3 BHK,KuisePa,1850.0,3.0,1.0,168.0,South Zone,3,9081.081081081082
Super built-up  Area,Ready To Move,7th phase jp nagar,2 BHK,BriumMi,1270.0,2.0,1.0,83.0,Unknown,2,6535.433070866142
Built-up  Area,Ready To Move,electronics city phase 1,2 BHK,Unknown,940.0,2.0,1.0,40.0,Unknown,2,4255.31914893617
Super built-up  Area,Ready To Move,domlur,2 BHK,IBictnd,1050.0,2.0,2.0,85.0,East Zone,2,8095.238095238095
Built-up  Area,Ready To Move,cv raman nagar,3 BHK,VeSkyva,1726.0,3.0,3.0,145.0,East Zone,3,8400.92699884125
Super built-up  Area,Ready To Move,sarakki nagar,3 BHK,Sowerew,2121.0,4.0,3.0,253.0,South Zone,3,11928.335690711929
Super built-up  Area,Ready To Move,vittasandra,2 BHK,Prlla C,1404.0,2.0,1.0,75.0,Bommanahalli Zone,2,5341.880341880342
Super built-up  Area,Ready To Move,sarjapur,3 BHK,Unknown,1525.0,2.0,2.0,48.0,Outside BBMP Zones,3,3147.5409836065573
Super built-up  Area,Ready To Move,kengeri,2 BHK,Vaens G,1025.0,2.0,2.0,57.0,Rajarajeshwari Nagar Zone,2,5560.975609756098
Plot  Area,Ready To Move,bahubali nagar,5 Bedroom,Unknown,1575.0,4.0,0.0,150.0,Dasarahalli Zone,5,9523.809523809523
Built-up  Area,Ready To Move,rmv 2nd stage,2 BHK,Unknown,860.0,1.0,1.0,43.0,Unknown,2,5000.0
Super built-up  Area,Ready To Move,talaghattapura,3 BHK,Unknown,1223.0,2.0,1.0,42.81,South Zone,3,3500.408830744072
Super built-up  Area,Ready To Move,lottegolla halli,4 BHK,AnialPa,3750.0,3.0,2.0,550.0,West Zone,4,14666.666666666666
Super built-up  Area,Ready To Move,kothannur,2 BHK,Unknown,1197.0,2.0,1.0,47.8,Yelahanka Zone,2,3993.316624895572
Super built-up  Area,Ready To Move,garudachar palya,2 BHK,Unknown,1150.0,2.0,1.0,52.75,Mahadevapura Zone,2,4586.95652173913
Built-up  Area,Ready To Move,kodbisanhalli,4 Bedroom,Diaste,4800.0,5.0,3.0,629.0,Mahadevapura Zone,4,13104.166666666666
Super built-up  Area,Ready To Move,r.t. nagar,2 BHK,Dhows M,1040.0,2.0,2.0,46.0,Yelahanka Zone,2,4423.076923076923
Super built-up  Area,Ready To Move,uttarahalli,3 BHK,Baveles,1788.0,3.0,2.0,98.34,South Zone,3,5500.0
Super built-up  Area,Ready To Move,raja rajeshwari nagar,2 BHK,GrrvaGr,1144.0,2.0,2.0,38.55,Rajarajeshwari Nagar Zone,2,3369.7552447552443
Super built-up  Area,Ready To Move,nandini layout,2 BHK,Unknown,1200.0,2.0,2.0,70.0,West Zone,2,5833.333333333333
Super built-up  Area,Ready To Move,ambedkar nagar,3 BHK,Unknown,1862.0,3.0,2.0,120.0,East Zone,3,6444.68313641246
Plot  Area,Ready To Move,margondanahalli,2 Bedroom,Unknown,1200.0,2.0,1.0,58.5,Mahadevapura Zone,2,4875.0
Super built-up  Area,Ready To Move,begur road,2 BHK,Unknown,970.0,2.0,2.0,27.0,Bommanahalli Zone,2,2783.505154639175
Super built-up  Area,Ready To Move,sarjapur road,4 BHK,Klark L,4395.0,4.0,2.0,242.0,Bommanahalli Zone,4,5506.257110352673
Plot  Area,Ready To Move,1st block jayanagar,4 Bedroom,Unknown,2400.0,4.0,2.0,450.0,Unknown,4,18750.0
Super built-up  Area,Ready To Move,budigere,2 BHK,PrityTr,1139.0,2.0,2.0,56.8,Outside BBMP Zones,2,4986.830553116769
Super built-up  Area,Ready To Move,haralur road,2 BHK,Unknown,1092.0,2.0,2.0,44.0,Bommanahalli Zone,2,4029.3040293040294
Super built-up  Area,Ready To Move,pattandur agrahara,3 BHK,MaidoPl,1767.0,3.0,2.0,98.0,Mahadevapura Zone,3,5546.1233729485
Built-up  Area,Ready To Move,hmt layout,3 BHK,Unknown,1700.0,3.0,2.0,80.0,Yelahanka Zone,3,4705.882352941177
Super built-up  Area,Ready To Move,bellandur,3 BHK,Maonsrn,1692.0,3.0,2.0,88.0,Mahadevapura Zone,3,5200.945626477542
Built-up  Area,Ready To Move,6th phase jp nagar,3 BHK,Unknown,1645.0,3.0,3.0,100.0,Unknown,3,6079.0273556231
Super built-up  Area,Ready To Move,uttarahalli,3 BHK,Aklia R,1345.0,2.0,1.0,57.0,South Zone,3,4237.918215613383
Super built-up  Area,Ready To Move,basapura,2 BHK,Krtiqa,1100.0,2.0,1.0,60.0,Bommanahalli Zone,2,5454.545454545455
Super built-up  Area,Ready To Move,gollarapalya hosahalli,3 BHK,Mauner,1408.0,3.0,3.0,62.0,West Zone,3,4403.409090909091
Plot  Area,Ready To Move,banashankari stage iii,4 Bedroom,Unknown,2400.0,4.0,1.0,240.0,South Zone,4,10000.0
Plot  Area,Ready To Move,kadugodi,4 Bedroom,Unknown,1920.0,4.0,2.0,200.0,Mahadevapura Zone,4,10416.666666666666
Plot  Area,Ready To Move,bileshivale,5 Bedroom,LGDewke,6040.0,4.0,2.0,170.0,Yelahanka Zone,5,2814.569536423841
Super built-up  Area,Ready To Move,thigalarapalya,3 BHK,Prtanha,2072.0,4.0,2.0,150.0,Mahadevapura Zone,3,7239.382239382239
Super built-up  Area,Ready To Move,malleshwaram,2 BHK,Maens G,1420.0,2.0,1.0,158.0,West Zone,2,11126.760563380281
Plot  Area,Ready To Move,electronics city phase 1,3 Bedroom,Unknown,2040.0,3.0,2.0,137.0,Unknown,3,6715.686274509804
Super built-up  Area,Ready To Move,sarjapur road,3 BHK,Unknown,1220.0,3.0,2.0,56.0,Bommanahalli Zone,3,4590.163934426229
Plot  Area,Ready To Move,8th phase jp nagar,4 Bedroom,Unknown,1200.0,4.0,2.0,145.0,Unknown,4,12083.333333333334
Super built-up  Area,Ready To Move,b channasandra,2 BHK,Unknown,1300.0,2.0,1.0,79.0,East Zone,2,6076.923076923077
Super built-up  Area,Ready To Move,kr puram,2 BHK,Unknown,1470.0,2.0,2.0,86.0,Mahadevapura Zone,2,5850.340136054422
Super built-up  Area,Ready To Move,harappanahalli,2 BHK,Unknown,1311.0,2.0,2.0,48.0,Outside BBMP Zones,2,3661.3272311212813
Super built-up  Area,Ready To Move,dollars colony,4 BHK,Unknown,3500.0,4.0,3.0,350.0,West Zone,4,10000.0
